City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Cape Girardeau,US,2022-09-07 03:58:23,broken clouds,37.3834,-89.7168,71.02,90,59,6.8
60,Jamestown,US,2022-09-07 03:58:23,overcast clouds,42.097,-79.2353,63.52,68,100,1.99
61,Mackenzie,CA,2022-09-07 03:58:23,overcast clouds,55.2999,-123.1698,52.02,93,100,2.3
62,Mandalgovi,MN,2022-09-07 03:58:24,clear sky,45.7625,106.2708,76.3,17,1,9.19
63,Mumford,GH,2022-09-07 03:58:24,overcast clouds,5.2618,-0.759,73.13,94,100,6.8
64,Skibotn,NO,2022-09-07 03:58:24,overcast clouds,69.3913,20.2679,45.61,92,100,0.65
65,Carnarvon,AU,2022-09-07 03:56:27,broken clouds,-24.8667,113.6333,67.57,50,73,7.07
66,Mecca,SA,2022-09-07 03:58:25,scattered clouds,21.4267,39.8261,87.06,48,45,4.81
67,Tasiilaq,GL,2022-09-07 03:49:50,broken clouds,65.6145,-37.6368,39.36,90,54,5.99
68,Namatanai,PG,2022-09-07 03:58:25,light rain,-3.6667,152.4333,84.92,68,33,9.19
69,Port Alfred,ZA,2022-09-07 03:49:49,clear sky,-33.5906,26.891,55.99,82,0,5.79
70,Punta Arenas,CL,2022-09-07 03:53:58,clear sky,-53.15,-70.9167,32.11,80,0,16.11
71,Ossora,RU,2022-09-07 03:58:26,clear sky,59.2353,163.0719,54.73,53,2,8.48
72,Kondoa,TZ,2022-09-07 03:58:27,few clouds,-4.9,35.7833,57.63,84,20,4.34
73,Itarema,BR,2022-09-07 03:58:27,few clouds,-2.9248,-39.9167,78.37,79,17,15.66
74,Geraldton,AU,2022-09-07 03:56:23,broken clouds,-28.7667,114.6,66.61,59,75,9.22
75,Namibe,AO,2022-09-07 03:58:27,overcast clouds,-15.1961,12.1522,62.58,90,94,4.9
76,Adrar,MR,2022-09-07 03:58:28,broken clouds,20.5022,-10.0711,93.18,17,62,13.35
77,Jackson,US,2022-09-07 03:58:28,broken clouds,42.4165,-122.8345,88.75,38,57,1.48
78,Narsaq,GL,2022-09-07 03:58:28,overcast clouds,60.9167,-46.05,45.7,92,88,1.07
79,Iqaluit,CA,2022-09-07 03:58:29,light rain,63.7506,-68.5145,42.53,81,100,9.22
80,Suzdal,RU,2022-09-07 03:58:29,overcast clouds,56.4281,40.4414,43.75,89,100,9.75
81,Thompson,CA,2022-09-07 03:51:25,scattered clouds,55.7435,-97.8558,55.56,76,40,9.22
82,Wukari,NG,2022-09-07 03:56:19,overcast clouds,7.85,9.7833,71.76,97,99,5.64
83,Bengkulu,ID,2022-09-07 03:58:30,overcast clouds,-3.8004,102.2655,80.26,70,100,5.77
84,Coquimbo,CL,2022-09-07 03:58:30,overcast clouds,-29.9533,-71.3436,51.53,100,100,2.3
85,Nishihara,JP,2022-09-07 03:58:30,scattered clouds,26.1842,127.7558,85.28,62,40,17.27
86,Ilulissat,GL,2022-09-07 03:58:31,light rain,69.2167,-51.1,36.07,97,100,2.89
87,Hobyo,SO,2022-09-07 03:58:31,few clouds,5.3505,48.5268,76.42,80,22,23.98
88,Shimoda,JP,2022-09-07 03:58:31,overcast clouds,34.6667,138.95,86.36,84,99,2.77
89,Arraial Do Cabo,BR,2022-09-07 03:51:25,overcast clouds,-22.9661,-42.0278,67.69,72,98,20.4
90,Mahebourg,MU,2022-09-07 03:58:32,scattered clouds,-20.4081,57.7,70.25,72,40,3.44
91,Locri,IT,2022-09-07 03:58:32,clear sky,38.2414,16.2623,73.31,50,5,5.59
92,Pingliang,CN,2022-09-07 03:58:33,scattered clouds,35.5392,106.6861,75.54,43,48,12.53
93,Touros,BR,2022-09-07 03:59:33,clear sky,-5.1989,-35.4608,72.0,85,6,15.37
94,Banda Aceh,ID,2022-09-07 03:54:53,overcast clouds,5.5577,95.3222,77.14,87,100,15.28
95,Meadow Lake,US,2022-09-07 03:59:33,clear sky,34.8014,-106.5436,81.14,25,0,6.22
96,Guadalajara,MX,2022-09-07 03:59:21,overcast clouds,20.6667,-103.3333,62.08,91,100,3.11
97,Kitgum,UG,2022-09-07 03:59:34,few clouds,3.2783,32.8867,63.34,95,12,2.48
98,Butaritari,KI,2022-09-07 03:59:34,overcast clouds,3.0707,172.7902,81.59,69,100,14.52
99,Georgetown,MY,2022-09-07 03:58:50,scattered clouds,5.4112,100.3354,82.33,92,40,3.44
100,Kaitangata,NZ,2022-09-07 03:59:35,overcast clouds,-46.2817,169.8464,46.42,88,92,6.67
101,Vad,RU,2022-09-07 03:59:35,overcast clouds,55.5301,44.2114,45.5,88,100,9.89
102,Puerto Ayora,EC,2022-09-07 03:49:51,overcast clouds,-0.7393,-90.3518,68.38,91,100,11.18
103,Atuona,PF,2022-09-07 03:45:52,light rain,-9.8,-139.0333,77.18,79,17,19.73
104,Norman Wells,CA,2022-09-07 03:59:36,broken clouds,65.282,-126.8329,50.04,62,75,6.91
105,Bethel,US,2022-09-07 03:59:36,overcast clouds,41.3712,-73.414,65.52,90,100,6.91
106,Iquique,CL,2022-09-07 03:59:37,few clouds,-20.2208,-70.1431,57.24,74,20,2.89
107,Uberlandia,BR,2022-09-07 03:59:37,clear sky,-18.9186,-48.2772,72.61,49,0,14.97
108,Avera,US,2022-09-07 03:59:38,overcast clouds,33.194,-82.5271,77.05,79,100,6.15
109,Macusani,PE,2022-09-07 03:59:38,clear sky,-14.0833,-70.4333,37.47,79,8,2.37
110,Tiksi,RU,2022-09-07 03:59:38,overcast clouds,71.6872,128.8694,45.12,78,92,19.89
111,Tuatapere,NZ,2022-09-07 03:59:39,overcast clouds,-46.1333,167.6833,46.4,83,87,6.08
112,Huilong,CN,2022-09-07 03:59:39,clear sky,31.8111,121.655,85.21,57,2,6.69
113,Raiwala,IN,2022-09-07 03:59:39,clear sky,30.0167,78.2167,87.48,58,0,0.98
114,Pili,PH,2022-09-07 03:59:40,overcast clouds,13.5833,123.3,85.33,74,99,1.36
115,Paamiut,GL,2022-09-07 03:58:43,clear sky,61.994,-49.6678,39.79,86,0,12.5
116,Barrow,US,2022-09-07 03:59:40,overcast clouds,71.2906,-156.7887,46.6,71,85,5.44
117,Erenhot,CN,2022-09-07 03:59:41,clear sky,43.6475,111.9767,78.98,19,0,12.17
118,Vao,NC,2022-09-07 03:55:15,scattered clouds,-22.6667,167.4833,68.09,63,30,12.97
119,Asau,RO,2022-09-07 03:59:41,broken clouds,46.4333,26.4,47.32,67,75,1.66
120,Chuy,UY,2022-09-07 03:55:08,broken clouds,-33.6971,-53.4616,55.42,97,75,8.32
121,San Cristobal,VE,2022-09-07 03:59:42,overcast clouds,7.7669,-72.225,77.18,96,99,2.8
122,Chokurdakh,RU,2022-09-07 03:58:45,broken clouds,70.6333,147.9167,61.18,32,60,12.15
123,Laguna,US,2022-09-07 03:59:42,clear sky,38.421,-121.4238,98.76,31,0,9.22
124,Ola,RU,2022-09-07 03:59:42,overcast clouds,59.5833,151.2833,62.15,50,100,6.15
125,Codrington,AU,2022-09-07 03:59:43,overcast clouds,-38.2667,141.9667,62.04,73,100,14.74
126,Cotonou,BJ,2022-09-07 03:59:43,scattered clouds,6.3654,2.4183,75.18,88,40,8.05
127,Grindavik,IS,2022-09-07 03:56:25,fog,63.8424,-22.4338,46.87,100,52,5.75
128,Kamenka,RU,2022-09-07 03:59:44,clear sky,51.3223,42.7678,43.7,70,8,7.31
129,Kapaa,US,2022-09-07 03:59:44,light rain,22.0752,-159.319,85.98,77,15,5.01
130,Hilo,US,2022-09-07 03:59:44,few clouds,19.7297,-155.09,85.28,88,12,1.01
131,Aksu,CN,2022-09-07 03:59:45,clear sky,41.1231,80.2644,84.09,16,0,1.48
132,Provideniya,RU,2022-09-07 03:59:45,light intensity shower rain,64.3833,-173.3,46.51,93,100,8.99
133,Hithadhoo,MV,2022-09-07 03:59:45,broken clouds,-0.6,73.0833,81.81,69,75,13.0
134,Longyearbyen,SJ,2022-09-07 03:59:46,overcast clouds,78.2186,15.6401,39.6,92,97,3.58
135,Shalakusha,RU,2022-09-07 03:59:46,light rain,62.2247,40.2539,43.77,95,100,6.64
136,Fortuna Foothills,US,2022-09-07 03:59:46,clear sky,32.6578,-114.4119,92.21,61,0,15.01
137,Hailar,CN,2022-09-07 03:59:47,scattered clouds,49.2,119.7,70.75,27,48,18.14
138,Nioki,CD,2022-09-07 04:00:47,clear sky,-2.7167,17.6833,73.81,85,10,1.16
139,Americus,US,2022-09-07 03:58:15,overcast clouds,32.0724,-84.2327,76.87,72,99,2.1
140,Pangai,TO,2022-09-07 04:00:48,broken clouds,-19.8,-174.35,77.9,78,51,10.8
141,Saint-Ambroise,CA,2022-09-07 04:00:48,clear sky,48.5501,-71.3324,51.33,86,6,1.83
142,Antequera,ES,2022-09-07 04:00:48,scattered clouds,37.0194,-4.5612,72.45,60,30,4.5
143,Cape Town,ZA,2022-09-07 04:00:49,scattered clouds,-33.9258,18.4232,53.91,75,45,8.01
144,Saint Pete Beach,US,2022-09-07 04:00:49,few clouds,27.7253,-82.7412,86.02,70,22,1.01
145,Oranjemund,NA,2022-09-07 04:00:49,clear sky,-28.55,16.4333,55.08,71,0,8.21
146,Alora,ES,2022-09-07 04:00:50,scattered clouds,36.8236,-4.7058,72.32,57,38,5.79
147,Alice Springs,AU,2022-09-07 04:00:50,scattered clouds,-23.7,133.8833,83.75,24,40,20.71
148,Butka,RU,2022-09-07 04:00:51,overcast clouds,56.7179,63.7866,46.42,67,93,7.83
149,Jorpeland,NO,2022-09-07 04:00:51,overcast clouds,59.0225,6.0408,60.15,65,100,7.38
150,Abu Samrah,SY,2022-09-07 04:00:51,clear sky,35.3029,37.1841,72.63,78,0,6.58
151,Wuda,CN,2022-09-07 04:00:52,clear sky,39.4994,106.7117,78.03,17,3,15.19
152,Anadyr,RU,2022-09-07 04:00:52,broken clouds,64.75,177.4833,46.9,61,75,13.42
153,Kismayo,SO,2022-09-07 04:00:52,clear sky,-0.3582,42.5454,75.69,76,6,16.08
154,Mar Del Plata,AR,2022-09-07 03:56:47,few clouds,-38.0023,-57.5575,55.87,82,11,8.01
155,Meulaboh,ID,2022-09-07 04:00:53,overcast clouds,4.1363,96.1285,81.43,69,100,3.33
156,Pevek,RU,2022-09-07 04:00:53,overcast clouds,69.7008,170.3133,40.37,75,98,9.78
157,Tabou,CI,2022-09-07 04:00:54,light rain,4.423,-7.3528,74.64,90,79,5.93
